"","chapter","character","line"
"117",1,"Michael","Oh, I'm so happy you get it."
"118",1,"Michael","As you can see, the interior has been decorated just as you like it, in the Icelandic primitive style."
"119",1,"Michael","Oh, oh, and, uh, of course, you love clowns, so…"
"120",1,"Eleanor Shellstrop","I do love clowns."
"121",1,"Michael","Now, let me show you the, uh, the video system here."
"122",1,"Michael","You can review everything that happened in your life from your point of view."
"123",1,"Michael","There we go."
"124",1,"Michael","This is your human rights mission to Ukraine."
"125",1,"Michael","I mean, you got a ton of points for that one."
"126",1,"Michael","It really put you over the top."
"127",1,"Michael","Oh."
"128",1,"Michael","Chidi, come on in."
"129",1,"Chidi Anagonye","Eleanor?"
"130",1,"Chidi Anagonye","I'm Chidi Anagonye, and you are my soulmate."
"131",1,"Eleanor Shellstrop","Cool!"
"132",1,"Eleanor Shellstrop","Bring it in, man."
"133",1,"Michael","Now, excuse me."
"134",1,"Michael","I have other people to attend to."
"135",1,"Eleanor Shellstrop","So where you from, Chidi?"
"136",1,"Chidi Anagonye","Well, I was born in Nigeria, raised in Senegal, but my work took me all over the place."
"137",1,"Chidi Anagonye","Australia, Hong Kong, Paris."
"138",1,"Chidi Anagonye","What about you?"
"139",1,"Eleanor Shellstrop","Uh, well, I… I was born in Phoenix."
"140",1,"Chidi Anagonye","Mmm-hmm."
"141",1,"Eleanor Shellstrop","Arizona."
"142",1,"Eleanor Shellstrop","And then I went to school in Tempe, Arizona."
"143",1,"Eleanor Shellstrop","And then I moved back to Phoenix, Arizona."
"144",1,"Eleanor Shellstrop","Your English is amazing."
"145",1,"Chidi Anagonye","Oh!"
"146",1,"Chidi Anagonye","I'm actually speaking French."
"147",1,"Chidi Anagonye","This place just translates whatever you say into a language the other person can understand."
"148",1,"Chidi Anagonye","So it's incredible."
"149",1,"Eleanor Shellstrop","Whoa."
"150",1,"Chidi Anagonye","And now I want to say this."
"151",1,"Eleanor Shellstrop","Mmm-kay."
"152",1,"Chidi Anagonye","Eleanor."
"153",1,"Chidi Anagonye","I have spent my entire life in pursuit of fundamental truths about the universe."
"154",1,"Chidi Anagonye","And now we can actually learn about them together as soulmates."
"155",1,"Chidi Anagonye","It's overwhelming."
"156",1,"Eleanor Shellstrop","Chidi."
"157",1,"Eleanor Shellstrop","You'll stand by my side no matter what, right?"
"158",1,"Chidi Anagonye","Of course I will."
"159",1,"Eleanor Shellstrop","Promise me."
"160",1,"Eleanor Shellstrop","Say, ""I promise I will never betray you for any reason."""
"161",1,"Chidi Anagonye","Eleanor, I swear that I will never say or do anything to cause you any harm."
"162",1,"Eleanor Shellstrop","Good."
"163",1,"Eleanor Shellstrop","Because those aren't my memories."
"164",1,"Eleanor Shellstrop","I wasn't a lawyer."
"165",1,"Eleanor Shellstrop","I never went to the Ukraine."
"166",1,"Eleanor Shellstrop","I hate clowns."
"167",1,"Eleanor Shellstrop","There's been a big mistake."
"168",1,"Eleanor Shellstrop","I'm not supposed to be here."
"169",1,"Chidi Anagonye","Wait, what?"
"170",1,"Chidi Anagonye","Are you sure this isn't you?"
"171",1,"Eleanor Shellstrop","Yeah, man, I'm pretty sure I wasn't a death-row lawyer who collected clown paintings and rescued orphans."
"172",1,"Eleanor Shellstrop","They got my name right, but nothing else."
"173",1,"Eleanor Shellstrop","I mean, somebody royally forked up."
"174",1,"Eleanor Shellstrop","Somebody forked up."
"175",1,"Eleanor Shellstrop","Why can't I say ""fork""?"
"176",1,"Chidi Anagonye","If you're trying to curse, you can't here."
"177",1,"Chidi Anagonye","I guess a lot of people in this neighborhood don't like it, so it's prohibited."
"178",1,"Eleanor Shellstrop","That's bull-shirt."
"179",1,"Chidi Anagonye","So, if you're not this person, then who are you?"
"180",1,"Chidi Anagonye","What did you do for a living?"
"181",1,"Eleanor Shellstrop","I was… in… sales."
"182",1,"Wallace","So we sell two products here, NasaPRO and NasaPRO Silver."
"183",1,"Wallace","We aim this at seniors."
"184",1,"Wallace","Now, you can't legally call it ""medicine"" because it doesn't technically work and it is technically chalk, so what you're gonna want to do --"
"185",1,"Eleanor Shellstrop","You need me to lie to old people and scare them into buying fake medicine."
"186",1,"Eleanor Shellstrop","I get it, man."
"187",1,"Eleanor Shellstrop","Which one's my desk?"
"188",1,"Chidi Anagonye","So your job was to defraud the elderly…"
"189",1,"Chidi Anagonye","Sorry, the sick and elderly?"
"190",1,"Eleanor Shellstrop","But I was very good at it."
"191",1,"Eleanor Shellstrop","I was the top salesperson five years running."
"192",1,"Chidi Anagonye","Okay, but that's worse."
"193",1,"Chidi Anagonye","I mean, you, you do get how that's worse, right?"
"194",1,"Chidi Anagonye","You know, maybe it's a test."
"195",1,"Chidi Anagonye","Maybe if you go to Michael and you tell him the truth, you'll pass the test and you'll get to stay."
"196",1,"Eleanor Shellstrop","No way."
"197",1,"Eleanor Shellstrop","I can't risk going to The Bad Place."
"198",1,"Chidi Anagonye","Okay, well, maybe it's not actually, like, all that bad."
"199",1,"Chidi Anagonye","Let's just get some information first."
"200",1,"Chidi Anagonye","We'll ask Janet."
"201",1,"Chidi Anagonye","Hey, Janet?"
"202",1,"Janet","Hi there."
"203",1,"Janet","How can I help you?"
"204",1,"Eleanor Shellstrop","What the fork?"
"205",1,"Eleanor Shellstrop","Who are you?"
"206",1,"Janet","I'm Janet."
"207",1,"Janet","I'm the informational assistant here in The Good Place."
"208",1,"Chidi Anagonye","She's like this walking database."
"209",1,"Chidi Anagonye","You can ask her about the creation of the universe, or history --"
"210",1,"Eleanor Shellstrop","Oh, there was a guy who lived in Avondale, Arizona, around 2002."
"211",1,"Eleanor Shellstrop","His name was Kevin Paltonic."
"212",1,"Eleanor Shellstrop","Is he gay?"
"213",1,"Janet","No."
"214",1,"Eleanor Shellstrop","Really?"
"215",1,"Eleanor Shellstrop","Huh."
"216",1,"Eleanor Shellstrop","I guess he just didn't want to have sex with me."
"217",1,"Janet","That's correct."
"218",1,"Eleanor Shellstrop","Well, that's fine, I wasn't that into him anyway."
"219",1,"Janet","Yes, you were."
"220",1,"Chidi Anagonye","Okay, Janet, I have a question."
"221",1,"Janet","Okay."
"222",1,"Chidi Anagonye","What is The Bad Place like?"
"223",1,"Janet","Oh, sorry, that is the one topic I'm not allowed to tell you about."
"224",1,"Janet","I can only play you a brief audio clip of what is happening there right now."
"225",1,"Chidi Anagonye","Okay."
"226",1,"Woman","The bear has two mouths!"
"227",1,"Eleanor Shellstrop","Well, it doesn't sound awesome."
"228",1,"Eleanor Shellstrop","Does everyone have a huge house except me?"
"229",1,"Eleanor Shellstrop","All right, we need a plan."
"230",1,"Eleanor Shellstrop","I say we just lie low and hope that they don't notice me."
"231",1,"Chidi Anagonye","I'm sorry, I don't think I can help you."
"232",1,"Chidi Anagonye","I just don't like being dishonest, and I can't advise you to be dishonest either."
"233",1,"Eleanor Shellstrop","Come on, I'm just asking you to fudge a little bit."
"234",1,"Eleanor Shellstrop","You must've told a few white lies in your life."
"235",1,"Eleanor Shellstrop","I mean, what was your job?"
"236",1,"Chidi Anagonye","I was a professor of ethics and moral philosophy."
"237",1,"Eleanor Shellstrop","Mother-forker!"
"238",1,"Chidi Anagonye","I'm getting a stomachache."
"239",1,"Chidi Anagonye","I'm in a perfect utopia, and I'm… I have a stomachache."
"240",1,"Chidi Anagonye","This is awful."
"241",1,"Chidi Anagonye","I, uh… I think I have to tell Michael about this."
"242",1,"Michael","Tell Michael about what?"
"243",1,"Eleanor Shellstrop","Michael?"
"244",1,"Eleanor Shellstrop","Hi."
"245",1,"Eleanor Shellstrop","What have you been up to?"
"246",1,"Michael","Eleanor, Chidi, I would like you to meet Tahani and Jianyu."
"247",1,"Michael","They are soulmates and your next-door neighbors."
"248",1,"Tahani Al-Jamil","Hello."
"249",1,"Tahani Al-Jamil","Can I just say I love your house?"
"250",1,"Tahani Al-Jamil","It's just so tiny and cute."
"251",1,"Tahani Al-Jamil","It's like a little child's plaything, like for a family of mice or for a very fancy little dog."
"252",1,"Tahani Al-Jamil","I love it."
"253",1,"Tahani Al-Jamil","It's just so sweet and teensy."
"254",1,"Tahani Al-Jamil","Just like you."
"255",1,"Tahani Al-Jamil","Boop."
"256",1,"Eleanor Shellstrop","Oh!"
"257",1,"Michael","Oh!"
"258",1,"Eleanor Shellstrop","You booped me."
"259",1,"Tahani Al-Jamil","I did."
"260",1,"Eleanor Shellstrop","That's fun."
"261",1,"Michael","Tahani and Jianyu are having a little welcome party tonight, and they've invited the entire neighborhood."
"262",1,"Tahani Al-Jamil","Oh, I simply adore entertaining."
"263",1,"Tahani Al-Jamil","Don't I just adore it, Jianyu?"
"264",1,"Tahani Al-Jamil","Oh, yes, by the way, Jianyu here is a Buddhist monk, you see, and he obeys a strict code of silence."
"265",1,"Tahani Al-Jamil","So when you see him smiling and nodding, that's actually his way of jumping up and down with glee."
"266",1,"Tahani Al-Jamil","Isn't that right, darling?"
"267",1,"Tahani Al-Jamil","So we'll see you tonight?"
"268",1,"Eleanor Shellstrop","Great."
"269",1,"Chidi Anagonye","Yes."
"270",1,"Eleanor Shellstrop","No way."
"271",1,"Eleanor Shellstrop","My entire house could fit in this room."
"272",1,"Chidi Anagonye","Okay, uh… help me out here."
"273",1,"Chidi Anagonye","Tell me one good thing that you did on Earth, just one truly kind and decent act so that I can feel better about helping you out."
"274",1,"Eleanor Shellstrop","Uh…"
"275",1,"Chidi Anagonye","Let's forget about good."
"276",1,"Chidi Anagonye","Um, just tell me something neutral about yourself."
"277",1,"Chidi Anagonye","Like, tell me about the day before you died."
"278",1,"Chidi Anagonye","What do you remember?"
"279",1,"Joe","Hi there."
"280",1,"Joe","Do you have a second to talk about the environment?"
"281",1,"Eleanor Shellstrop","Do you have a second to eat my farts?"
"282",1,"Joe","You missed."
"283",1,"Eleanor Shellstrop","Pick it up if you're so horny for the environment."
"284",1,"Eleanor Shellstrop","I don't remember anything specific."
"285",1,"Chidi Anagonye","Oh…"
"286",1,"Eleanor Shellstrop","Look."
"287",1,"Eleanor Shellstrop","I might not have been a saint, but it's not like I killed anybody."
"288",1,"Eleanor Shellstrop","I wasn't an arsonist."
"289",1,"Eleanor Shellstrop","I never found a wallet outside of an IHOP and thought about returning it but saw the owner lived out of state so just took the cash and dropped the wallet back on the ground."
"290",1,"Chidi Anagonye","Okay, that's really specific, and that makes me think that you definitely did do that."
"291",1,"Eleanor Shellstrop","All I'm saying is these people might be ""good"", but are they really that much better than me?"
"292",1,"Bambadjan","Well, I spent half my life in North Korea fighting for women's rights and the other half in Saudi Arabia fighting for gay rights."
"293",1,"Gloria","So we said, ""If the UN won't remove those land mines, we will."""
"294",1,"Gloria","And we dug up over a thousand unexploded land mines from the area surrounding the orphanage."
"295",1,"Sachveer","Well, then he said, ""You can't give me both your kidneys, you'll die."""
"296",1,"Sachveer","And I said, ""But you will live."""
"297",1,"Sachveer","And I know we just met on this bus ten minutes ago, but he seemed nice."
"298",1,"Eleanor Shellstrop","Oh, forget it."
"299",1,"Eleanor Shellstrop","Heading to the bar!"
"300",1,"Michael","Thank you, thank you."
"301",1,"Michael","You all know that I am the architect of this neighborhood."
"302",1,"Michael","But what you don't know is…"
"303",1,"Michael","Golly, I'm not supposed to tell you this, but, um…"
"304",1,"Michael","Oh, what the heck?"
"305",1,"Michael","This is actually the very first neighborhood that I have ever designed."
"306",1,"Michael","I have been an apprentice for over 200 years, and my boss has finally given me my first solo project."
"307",1,"Michael","Yes!"
"308",1,"Eleanor Shellstrop","Ah, ah, ah."
"309",1,"Eleanor Shellstrop","Hold on there, ace."
"310",1,"Eleanor Shellstrop","Let me get more of them shrampies."
"311",1,"Chidi Anagonye","Okay, easy."
"312",1,"Eleanor Shellstrop","What?"
"313",1,"Eleanor Shellstrop","They're for everybody, right?"
"314",1,"Chidi Anagonye","Yes, exactly."
"315",1,"Michael","And you deserve a perfect world because every single one of you is a good person."
"316",1,"Michael","That's it for me."
"317",1,"Michael","Back to you, Tahani."
"318",1,"Tahani Al-Jamil","Bravo, Michael, bravo!"
"319",1,"Michael","Thank you."
"320",1,"Tahani Al-Jamil","And I would just like to quickly say if any of you would like to play tennis tonight, we have 36 regulation grass tennis courts."
"321",1,"Tahani Al-Jamil","Such fun."
"322",1,"Tahani Al-Jamil","Cheers."
"323",1,"Eleanor Shellstrop","Tahani, what a condescending bench."
"324",1,"Chidi Anagonye","Okay, okay, okay, okay."
"325",1,"Eleanor Shellstrop","Am I right?"
"326",1,"Eleanor Shellstrop","Why does she still have that British accent, right?"
"327",1,"Eleanor Shellstrop","No one else here has an accent."
"328",1,"Eleanor Shellstrop","She's choosing to have that accent."
"329",1,"Eleanor Shellstrop","""Oh, hello."
"330",1,"Eleanor Shellstrop","I am just a big, beautiful, utterly perfect cartoon giraffe."""
"331",1,"Chidi Anagonye","Oh, okay."
"332",1,"Chidi Anagonye","Okay."
"333",1,"Chidi Anagonye","I think it's time to go home."
"334",1,"Eleanor Shellstrop","Wait, wait, wait."
"335",1,"Eleanor Shellstrop","I just have to go upstairs real quick and steal a bunch of gold stuff."
"336",1,"Chidi Anagonye","Okay, don't do that."
"337",1,"Chidi Anagonye","Don't do… no, Eleanor, Eleanor, Eleanor."
"338",1,"Eleanor Shellstrop","Hello, creepy house that I hate."
"339",1,"Eleanor Shellstrop","Hello, one million clowns."
"340",1,"Eleanor Shellstrop","Why aren't there stairs here?"
"341",1,"Eleanor Shellstrop","What kind of weirdo house is this?"
"342",1,"Eleanor Shellstrop","Ooh."
"343",1,"Chidi Anagonye","Did you fill your bra with shrimp?"
"344",1,"Eleanor Shellstrop","No."
"345",1,"Eleanor Shellstrop","Yes."
"346",1,"Eleanor Shellstrop","Whatever, it's freakin' heaven."
"347",1,"Eleanor Shellstrop","I'm sure they have plenty of shellfish."
"348",1,"Eleanor Shellstrop","That Tahani is a real butthead, huh?"
"349",1,"Eleanor Shellstrop","Hey."
"350",1,"Eleanor Shellstrop","At least I can still say ""butthead""."
"351",1,"Eleanor Shellstrop","Oh, she is a butthead."
"352",1,"Chidi Anagonye","Found some pajamas."
"353",1,"Eleanor Shellstrop","Chidi… Chidi, Chidi?"
"354",1,"Eleanor Shellstrop","I'm sorry that you had to deal with this…"
"355",1,"Chidi Anagonye","It's okay."
"356",1,"Eleanor Shellstrop","It's not, though."
"357",1,"Eleanor Shellstrop","Do you think anybody cared that I died?"
"358",1,"Eleanor Shellstrop","Maybe someone did."
"359",1,"Eleanor Shellstrop","I don't know."
"360",1,"Eleanor Shellstrop","I was an only child."
"361",1,"Eleanor Shellstrop","My parents were divorced when I was a kid."
"362",1,"Eleanor Shellstrop","They were both crummy people, so they're probably… in The Bad Place."
"363",1,"Eleanor Shellstrop","Maybe they're being used to torture each other."
"364",1,"Eleanor Shellstrop","It would work."
"365",1,"Eleanor Shellstrop","I bet way more people cared that you died."
"366",1,"Eleanor Shellstrop","Cause you're a nice person."
"367",1,"Eleanor Shellstrop","You're a nice person, Chidi… Anaconda."
"368",1,"Chidi Anagonye","""Anagonye""."
"369",1,"Eleanor Shellstrop","Aganocomonga."
"370",1,"Chidi Anagonye","""Anagonye""."
"371",1,"Eleanor Shellstrop","Ags… say it again."
"372",1,"Chidi Anagonye","""Anagonye""."
"373",1,"Eleanor Shellstrop","No, say what you said before."
"374",1,"Chidi Anagonye","I did."
"375",1,"Chidi Anagonye","It's Anagonye."
"376",1,"Eleanor Shellstrop","You just changed it."
"377",1,"Chidi Anagonye","I didn't change it, it's my name."
"378",1,"Eleanor Shellstrop","Argrugande."
"379",1,"Eleanor Shellstrop","Ariana Grande."
"380",1,"Eleanor Shellstrop","That's a person."
"381",1,"Eleanor Shellstrop","I did it."
"382",1,"Eleanor Shellstrop","Good night."
"383",1,"Chidi Anagonye","Good night."
"384",1,"Chidi Anagonye","Well, that's terrifying."
"385",1,"Eleanor Shellstrop","That can't be good."
"386",1,"Eleanor Shellstrop","Oh, fork."
"387",1,"Tahani Al-Jamil","Michael."
"388",1,"Michael","Hmm?"
"389",1,"Tahani Al-Jamil","Is that giant, terrifying ladybug supposed to be there?"
"390",1,"Michael","Ah."
"391",1,"Michael","Well, great question, Tahani."
"392",1,"Michael","No."
"393",1,"Michael","No, it's not."
"394",1,"Michael","I have no idea why any of this is happening or how to control it."
"395",1,"Tahani Al-Jamil","Should we run away then?"
"396",1,"Michael","Yes."
"397",1,"Tahani Al-Jamil","Righto."
"398",1,"Eleanor Shellstrop","Chidi, Chidi!"
"399",1,"Eleanor Shellstrop","What's going on?"
"400",1,"Eleanor Shellstrop","Why are there giant animals everywhere?"
"401",1,"Eleanor Shellstrop","Do you hear Ariana Grande playing?"
"402",1,"Eleanor Shellstrop","Why is everyone wearing blue and yellow?"
"403",1,"Chidi Anagonye","You're not."
"404",1,"Chidi Anagonye","You're the only one who's not."
"405",1,"Chidi Anagonye","Eleanor, this is all happening because of you."
"406",1,"Eleanor Shellstrop","Oh, fork me."
"407",1,"Eleanor Shellstrop","Okay, okay."
"408",1,"Eleanor Shellstrop","We don't know this is because of me."
"409",1,"Chidi Anagonye","Eleanor, this place is a perfectly made Swiss watch, and you are a wrench in the gears."
"410",1,"Chidi Anagonye","Actually, you're a hammer, just smashing the gears into dust."
"411",1,"Eleanor Shellstrop","Oh, hang on."
"412",1,"Eleanor Shellstrop","Not everybody here is perfect, okay?"
"413",1,"Eleanor Shellstrop","Tahani is totally condescending."
"414",1,"Eleanor Shellstrop","And there are a couple of, you know, chunksters."
"415",1,"Chidi Anagonye","Oh, come on!"
"416",1,"Eleanor Shellstrop","No judgment."
"417",1,"Eleanor Shellstrop","I'm just saying I'm not the only one with flaws."
"418",1,"Eleanor Shellstrop","So how can we be sure this is my fault?"
"419",1,"Chidi Anagonye","You hogged all the shrimp, and now there are shrimp flying around."
"420",1,"Chidi Anagonye","You called Tahani a giraffe, and now there are giraffes everywhere."
"421",1,"Eleanor Shellstrop","Okay, fine, turns out there are many ways to know that it was me."
"422",1,"Chidi Anagonye","Let's just face it, Eleanor, you don't belong here."
"423",1,"Eleanor Shellstrop","Well, then this system sucks."
"424",1,"Eleanor Shellstrop","What, one in a million gets to live in paradise and everyone else is tortured for eternity?"
"425",1,"Eleanor Shellstrop","Come on."
"426",1,"Eleanor Shellstrop","I mean, I wasn't freaking Gandhi, but I was okay."
"427",1,"Eleanor Shellstrop","I was a medium person."
"428",1,"Eleanor Shellstrop","I should get to spend eternity in a medium place!"
"429",1,"Eleanor Shellstrop","Like Cincinnati."
"430",1,"Eleanor Shellstrop","Everyone who wasn't perfect but wasn't terrible should get to spend eternity in Cincinnati."
"431",1,"Chidi Anagonye","Look, apparently it doesn't work that way."
"432",1,"Chidi Anagonye","I'm sorry, Eleanor, but there's nothing anyone can do."
"433",1,"Eleanor Shellstrop","Unless… there is something we can do."
"434",1,"Eleanor Shellstrop","Unless you could teach me."
"435",1,"Chidi Anagonye","Teach you what?"
"436",1,"Eleanor Shellstrop","How to be good."
"437",1,"Eleanor Shellstrop","That was your job, right?"
"438",1,"Eleanor Shellstrop","A professor of ethics?"
"439",1,"Eleanor Shellstrop","No one knew I was a problem when I arrived."
"440",1,"Eleanor Shellstrop","Things only started getting crazy after I was an ash-hole to everyone at the party."
"441",1,"Eleanor Shellstrop","Ugh."
"442",1,"Eleanor Shellstrop","You know I'm trying to say ""ash-hole"" and not ""ash-hole"", right?"
"443",1,"Chidi Anagonye","I got that, yes."
"444",1,"Eleanor Shellstrop","Okay, give me a chance."
"445",1,"Eleanor Shellstrop","Let me earn my place here."
"446",1,"Eleanor Shellstrop","Let me be your ethical guinea pig."
"447",1,"Michael","Hey, guys!"
"448",1,"Michael","Uh… emergency neighborhood meeting, now!"
"449",1,"Eleanor Shellstrop","We'll be right there, Michael!"
"450",1,"Eleanor Shellstrop","If I walk out of here in these clothes, I'm toast."
"451",1,"Eleanor Shellstrop","My soul is in your hands, soulmate."
"452",1,"Eleanor Shellstrop","What's it gonna be?"
"453",1,"Chidi Anagonye","Oh, stomachache."
"454",2,"Chidi Anagonye","I don't know what to do here."
"455",2,"Chidi Anagonye","This is a mess."
"456",2,"Chidi Anagonye","Morally speaking, this is a putrid, disgusting bowl of ethical soup."
"457",2,"Eleanor Shellstrop","Okay, well, how about we just chill and go to the town meeting and talk it out after?"
"458",2,"Eleanor Shellstrop","Great."
"459",2,"Eleanor Shellstrop","Hey, how do I make that helper woman show up?"
"460",2,"Eleanor Shellstrop","Hello?"
"461",2,"Eleanor Shellstrop","Front desk lady?"
"462",2,"Eleanor Shellstrop","Magical slave robot?"
"463",2,"Chidi Anagonye","Excuse me, Janet?"
"464",2,"Janet","Hi, there."
"465",2,"Eleanor Shellstrop","Still not used to it."
"466",2,"Eleanor Shellstrop","Um, Janet, I need…"
"467",2,"Eleanor Shellstrop","Quick question, can anyone access our search history, or is this an incognito browsing situation like when you're stalking a hot mailman from your work computer?"
"468",2,"Janet","It is 100% confidential."
"469",2,"Janet","No one can access what you ask me, including Michael."
"470",2,"Janet","Now, what kind of pornography would you like to see?"
"471",2,"Eleanor Shellstrop","No."
